ID,target,is_augmented,augmentation_method
002f99746285dfdd.jpg,16,False,-
008ccd231e1fea5d.jpg,10,False,-
008f5911bfda7695.jpg,10,False,-
009235e4c9c07af5.jpg,4,False,-
00b2f44967580c74.jpg,16,False,-
00cfa88ce8973dea.jpg,5,False,-
00ec594b7cc89183.jpg,15,False,-
00f59b12e9e08f29.jpg,16,False,-
00fdc02d9b552fe8.jpg,15,False,-
012913977fd1d980.jpg,14,False,-
0134204c33c8d37c.jpg,5,False,-
0143de5f1099427d.jpg,9,False,-
01af3d4c58c8530f.jpg,15,False,-
01c0b97e1492b220.jpg,15,False,-
024fe478044874ab.jpg,13,False,-
0250ee8107091ade.jpg,7,False,-
02533d35fe935981.jpg,11,False,-
026817f3f9434f5b.jpg,10,False,-
02ab86a5d5a979cc.jpg,11,False,-
02d404271e4965fa.jpg,15,False,-
02dad82a9420ae86.jpg,7,False,-
02e1538cef751c7d.jpg,10,False,-
02ebb92c43006832.jpg,11,False,-
03075ea3046d4459.jpg,15,False,-
03084c1b03921a99.jpg,7,False,-
03636653282bb56c.jpg,5,False,-
03648b6855b9f8c1.jpg,10,False,-
03ce6a0a86939c04.jpg,2,False,-
040073c7f5eba0f9.jpg,9,False,-
04320d1d34f005ca.jpg,14,False,-
045ddbf696513987.jpg,15,False,-
0477c74e908ce463.jpg,5,False,-
0482c84f6e50fc44.jpg,5,False,-
04d106668176a2e6.jpg,16,False,-
055271bc977c47c7.jpg,8,False,-
055b74c6c5f5d86b.jpg,14,False,-
055cab3d62cdedbe.jpg,10,False,-
05806b384996854a.jpg,12,False,-
0583254a73b48ece.jpg,11,False,-
05c30f3c5be4bdcb.jpg,3,False,-
05c521f2659c0711.jpg,16,False,-
0604225f0353cb7c.jpg,16,False,-
0636f0cd41b60ffe.jpg,2,False,-
0664699c12c8162c.jpg,11,False,-
067f25e0435ab78b.jpg,7,False,-
0690bdea6146b3ab.jpg,16,False,-
06c04208033a0ebf.jpg,0,False,-
06c8db1a419a2a52.jpg,3,False,-
06e3ae9dce375043.jpg,7,False,-
06e51d188361295c.jpg,12,False,-
06f87aac754f870b.jpg,15,False,-
0702d1b6007837c7.jpg,12,False,-
0705443203af2672.jpg,16,False,-
070ac425616e7d20.jpg,10,False,-
0716742e75cfcbbf.jpg,15,False,-
0764b11d22a5bf2b.jpg,13,False,-
0787007d9064369b.jpg,13,False,-
07a0a849cab135e0.jpg,0,False,-
07ed72c124333c68.jpg,16,False,-
0808c7453316041c.jpg,3,False,-
08418d7a49cafbb5.jpg,8,False,-
08511642b48c0fad.jpg,1,False,-
08c000f407a21432.jpg,5,False,-
08e735737fcb818d.jpg,7,False,-
08ef6f5c37cef1bb.jpg,9,False,-
09213af8d64b7e04.jpg,10,False,-
0925f9ef30720e52.jpg,1,False,-
092b33532a2d23c2.jpg,11,False,-
096c4b74a832db46.jpg,0,False,-
097bf6816bf11df3.jpg,0,False,-
097c776cb2854f99.jpg,15,False,-
09a930520afa0ab9.jpg,3,False,-
0a1b8d3c52d64052.jpg,8,False,-
0a26fc63987e05eb.jpg,10,False,-
0a4adccbb7fe73e0.jpg,1,False,-
0a9843bf4ec022f3.jpg,3,False,-
0ac9d741be9c6757.jpg,9,False,-
0ad5ad8a888027e0.jpg,10,False,-
0b305f87af38aeed.jpg,10,False,-
0b574be91178eb35.jpg,9,False,-
0b9e81eacf022a95.jpg,9,False,-
0bb6c060183cddb9.jpg,5,False,-
0c62a4a572d6abef.jpg,6,False,-
0cd0ed110baca594.jpg,15,False,-
0cdf7f30dbeacb1c.jpg,0,False,-
0d6a14437ad1a20e.jpg,7,False,-
0d7f2ffc25536b56.jpg,16,False,-
0d980f149d750aa8.jpg,15,False,-
0db0f87709c7c403.jpg,6,False,-
0e15e264405bd12a.jpg,3,False,-
0e1eb96c88179e6e.jpg,11,False,-
0e2d9d02d62c0949.jpg,15,False,-
0e73f69b538fb276.jpg,13,False,-
0e876bb595b57f7f.jpg,15,False,-
0ebdd3bf7dbe63dc.jpg,9,False,-
0ed0af9895d19304.jpg,5,False,-
0eff005acf5ce9c6.jpg,6,False,-
0f1936616378ab3a.jpg,13,False,-
0f3ac436363ae727.jpg,14,False,-
0f4c2be43bbbf0a6.jpg,10,False,-
0fa6bb7b61883601.jpg,0,False,-
0fe5dca9a9183702.jpg,8,False,-
1003aefb72113a16.jpg,15,False,-
100c0ec39409480d.jpg,15,False,-
10234347b425ff7e.jpg,12,False,-
1043b7e8f825705f.jpg,11,False,-
1070b99464cb9755.jpg,12,False,-
108c622ecd7a9ea0.jpg,0,False,-
1103b95d240a31bd.jpg,2,False,-
1107103b712796a3.jpg,16,False,-
11d2eeafa3170c62.jpg,13,False,-
11d78da553cb1577.jpg,10,False,-
11f522c4a00d4c8c.jpg,0,False,-
1202c24bea56d1dc.jpg,5,False,-
1234dfd5a83372aa.jpg,5,False,-
1247240e60498c2f.jpg,8,False,-
1258871e4d7347be.jpg,4,False,-
12d1d9aa0ea45807.jpg,1,False,-
12e8c26f252aa8df.jpg,1,False,-
12f0216cfc02be14.jpg,13,False,-
133b0b66418f5992.jpg,8,False,-
134a6165b1e7198b.jpg,4,False,-
135c81e626dbfde1.jpg,0,False,-
1370c2d3fc1dbaa6.jpg,16,False,-
138d2612e021b11a.jpg,11,False,-
139fec9a67910e28.jpg,13,False,-
13c183761855c4e6.jpg,2,False,-
13ff4fb604003772.jpg,10,False,-
14073265c0fc4232.jpg,9,False,-
1429280c33f2a820.jpg,8,False,-
14415a54a4805c75.jpg,16,False,-
14555a04140dc3b4.jpg,5,False,-
1495a1e3d1599fe1.jpg,7,False,-
149c501f1b14311c.jpg,13,False,-
